protein_name,hgnc_id,gene_symbol,uniprot_id,cell_type,half_life_hours,beta_per_hour,quality_score_or_R2,source,anchor_weight
CD4_TotalSeqB,HGNC:1678,CD4,nan,Monocytes,12.598,0.05502041,0.895,Mathieson2018_NatCommun_SuppData2,0.895
CD8a_TotalSeqB,HGNC:1706,CD8A,nan,NK,69.186,0.0100186,0.985,Mathieson2018_NatCommun_SuppData2,0.985
CD11b_TotalSeqB,HGNC:6149,ITGAM,nan,Bcells,480.992,0.00144108,0.935,Mathieson2018_NatCommun_SuppData2,0.935
CD11b_TotalSeqB,HGNC:6149,ITGAM,nan,NK,1132.9285,0.00061182,0.987,Mathieson2018_NatCommun_SuppData2,0.987
CD11b_TotalSeqB,HGNC:6149,ITGAM,nan,Monocytes,229.7335,0.00301718,0.992,Mathieson2018_NatCommun_SuppData2,0.992
CD14_TotalSeqB,HGNC:1628,CD14,nan,Bcells,30.368,0.02282492,0.926,Mathieson2018_NatCommun_SuppData2,0.926
CD14_TotalSeqB,HGNC:1628,CD14,nan,Monocytes,35.145,0.0197225,0.9904999999999999,Mathieson2018_NatCommun_SuppData2,0.9904999999999999
CD16_TotalSeqB,HGNC:3619,FCGR3A,nan,NK,110.216,0.00628899,0.993,Mathieson2018_NatCommun_SuppData2,0.993
CD19_TotalSeqB,HGNC:1633,CD19,nan,Bcells,80.703,0.00858887,0.9895,Mathieson2018_NatCommun_SuppData2,0.9895
CD20_TotalSeqB,HGNC:7315,MS4A1,nan,Bcells,70.9355,0.00977151,0.9955,Mathieson2018_NatCommun_SuppData2,0.9955
CD56_TotalSeqB,HGNC:7656,NCAM1,nan,NK,102.2135,0.00678137,0.9550000000000001,Mathieson2018_NatCommun_SuppData2,0.9550000000000001
CD197_TotalSeqB,HGNC:1608,CCR7,nan,Bcells,29.528,0.02347423,0.97,Mathieson2018_NatCommun_SuppData2,0.97
